[xl/worksheets/sheet1.xml]
附件2
2025年陕西电网统调非市场化发电企业优先发电量计划表（上网电量）
单位：兆瓦、兆瓦时、小时
序号	发电企业	发电类型	装机容量	优先发电量（上网）	发电利用小时数	分月上网电量
1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
总计	4280.063	6376548.3045974
一、风电	2245	4006786.6332394
1	华润风电（潼关）有限公司（安壕风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
2	陕西容泽新能源有限公司（宁塞城风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
3	陕西容泽新能源有限公司（通庆里风电场）	分散式	39.6	70676.5036419957	1821.18387038744	5032.82098839122	4244.22464042837	6895.91759770635	7095.42409730668	6909.03915141343	6456.96238057062	4382.20746643011	5227.47668119229	7706.18263855663	4268.88	5471.928	6985.44
4	延安新立德风能发电有限公司（杉村风电场）	分散式	29.7	53007.3777314968	1821.18387038744	3774.61574129342	3183.16848032128	5171.93819827976	5321.56807298001	5181.77936356007	4842.72178542796	3286.65559982259	3920.60751089422	5779.63697891747	3201.66	4103.946	5239.08
5	延安润高新能源有限公司（佘沟风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
6	安塞常风新能源有限公司（陆川风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
7	安塞岚辉新能源有限公司（鼓乡风电场）	分散式	29.7	53007.3777314968	1821.18387038744	3774.61574129342	3183.16848032128	5171.93819827976	5321.56807298001	5181.77936356007	4842.72178542796	3286.65559982259	3920.60751089422	5779.63697891747	3201.66	4103.946	5239.08
8	安塞明志新能源有限公司（绸红风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
9	靖边骏驰新能源有限公司（锦玺风电场）	分散式	49.5	88345.6295524946	1821.18387038744	6291.02623548903	5305.28080053546	8619.89699713294	8869.28012163335	8636.29893926678	8071.20297571327	5477.75933303764	6534.34585149037	9632.72829819578	5336.1	6839.91	8731.8
10	志丹久九新能源有限公司（钟山风电场）	分散式	33	58897.0863683297	1821.18387038744	4194.01749032602	3536.85386702364	5746.59799808862	5912.85341442223	5757.53262617786	5380.80198380885	3651.83955535843	4356.23056766024	6421.81886546386	3557.4	4559.94	5821.2
11	大荔西北水电新能源有限公司（蔡庄风电场）	分散式	39.6	70676.5036419957	1821.18387038744	5032.82098839122	4244.22464042837	6895.91759770635	7095.42409730668	6909.03915141343	6456.96238057062	4382.20746643011	5227.47668119229	7706.18263855663	4268.88	5471.928	6985.44
12	大荔西北水电新能源有限公司（屈家风电场）	分散式	39.6	70676.5036419957	1821.18387038744	5032.82098839122	4244.22464042837	6895.91759770635	7095.42409730668	6909.03915141343	6456.96238057062	4382.20746643011	5227.47668119229	7706.18263855663	4268.88	5471.928	6985.44
13	陕西泰润丰新能源有限公司（庄合风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
14	陕投绥德清洁能源开发有限公司（中角风电场）	分散式	50	89238.0096489845	1821.18387038744	6354.57195503942	5358.86949549036	8706.96666377064	8958.86880973066	8723.53428208766	8152.73027849825	5533.09023539156	6600.34934493976	9730.02858403614	5390	6909	8820
15	黄龙县耀庆新能源科技有限公司（安彻里风电场）	分散式	30	53542.8057893907	1821.18387038744	3812.74317302365	3215.32169729422	5224.17999826238	5375.32128583839	5234.1205692526	4891.63816709895	3319.85414123493	3960.20960696386	5838.01715042169	3234	4145.4	5292
16	陕西延长石油售电有限公司（巴拉素风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
17	大荔星晟能源有限公司（老庄风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
